code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
417;366;"Camas e Mantas";"Beds & Mats";"Camas y Mantas";"Camas e Mantas"
631;588;Dietas;Diets;Dietas;Dietas
391;364;"Proteção Hepática";"Hepatic Care";"Protección Hepática";"Proteção Hepática"
751;742;Gatos;Cats;Cats;Gatos
714;737;"Saúde e Bem-estar";"Health & Wellness";"Salud y Bienestar";"Saúde e Bem-estar"
613;587;Dietas;Diets;Dietas;Dietas
394;364;"Saúde Oral";"Oral Care";"Salud Oral";"Saúde Oral"
752;742;Peixes;Fish;Fish;Peixes
385;370;"Comedouros e Bebedouros";"Bowls & Feeders";"Comederos y bebederos";"Comedouros e Bebedouros"
696;682;"Peixes Koi e de Lago";"Koi & Pond Fish";"Peces Koi e de Lago";"Peixes Koi e de Lago"
488;481;Acessórios;Acessórios;Acessórios;Acessórios
688;737;"Aquecimento e Luz";"Heating & Lighting";"Calefacción y luz";"Aquecimento e Luz"
382;362;ReforçoImunitário;"Vitamins & Supplements";"Refuerzo Inmunitario";ReforçoImunitário
399;366;"Comedouros e Bebedouros";"Bowls & Feeders";"Comederos y bebederos";"Comedouros e Bebedouros"
386;362;Geriátricos;Geriatric;Geriátrica;Geriátricos
489;481;Areia;Areia;Areia;Areia
697;682;Natural;Natural;Natural;Natural
753;742;"Outros Animais";"Small Pets";"Small Pets";"Outros Animais"
400;366;"Trelas e Coleiras";Walk;"Correas y Collars";"Trelas e Coleiras"
392;370;"Camas e Mantas";"Beds & Mats";"Camas y Mantas";"Camas e Mantas"
402;364;"Saúde Ocular";"Eye Care";"Salud Ocular";"Saúde Ocular"
689;737;"Tratamento da Água";"Water Care";"Tratamiento de Agua";"Tratamento da Água"
698;682;"Invertebrados de Água Salgada";"Saltwater Invertebrate";"Invertebrados de Agua Salada";"Invertebrados de Água Salgada"
381;366;Viagem;Travel;Viaje;Viagem
395;370;"Casotas e Portas";"Dog Houses & Gates";"Casetas y Puertas";"Casotas e Portas"
413;364;"Saúde Auditiva";"Ear Care";"Salud Auditiva";"Saúde Auditiva"
490;481;"Bebedouros e Comedouros";"Bebedouros e Comedouros";"Bebedouros e Comedouros";"Bebedouros e Comedouros"
387;362;"Proteção Intestinal";"Digestive Care";"Protección Intestinal";"Proteção Intestinal"
396;366;"Casotas e Portas";"Crates & Gates";"Casetas y Puertas";"Casotas e Portas"
491;481;Brinquedos;Brinquedos;Brinquedos;Brinquedos
390;362;"Proteção Hepática";"Hepatic Care";"Protección Hepática";"Proteção Hepática"
416;364;"Reforço Imunitário";"Vitamins & Supplements";"Refuerzo Inmunitario";"Reforço Imunitário"
393;362;"Saúde Oral";"Oral Care";"Salud Oral";"Saúde Oral"
492;481;Camas;Camas;Camas;Camas
589;370;Roupa;Clothes;Ropa;Roupa
530;364;Stress;Stress;Stress;Stress
401;362;"Saúde Ocular";"Eye Care";"Salud Ocular";"Saúde Ocular"
